team;T.min.;ints;dur;gr_int;pos;neg
32;2;16;42;0;4;1
32;3;16;76;0;3;4
32;4;21;82;0;7;1
32;5;20;47;0;5;4
32;6;18;73;0;3;2
32;7;25;95;6;11;1
32;8;27;98;3;0;10
32;9;33;71;14;14;5
32;10;18;48;6;3;8
32;11;27;85;11;9;1
32;12;27;77;11;6;8
32;13;37;92;14;12;9
32;14;28;85;9;5;9
32;15;23;60;6;5;5
32;16;28;74;6;6;5
32;17;22;57;1;4;7
32;18;16;64;1;5;5
32;19;27;76;3;7;6
32;20;26;70;6;11;5
32;21;15;42;2;7;4
32;22;25;77;5;3;11
32;23;34;106;7;5;8
32;24;19;54;3;6;4
32;25;27;86;8;7;5
32;26;21;80;2;6;5
32;27;42;98;18;17;6
32;28;25;82;9;7;11
32;29;46;100;20;15;15
32;30;20;49;7;4;9
32;31;26;73;6;2;11
32;32;22;54;6;6;3
32;33;38;85;15;13;4
32;34;33;90;10;14;2
32;35;27;85;11;17;1
32;36;36;93;15;15;7
32;37;30;87;13;19;3
32;38;35;88;14;20;3
32;39;39;95;12;12;4
32;40;27;62;4;5;7
32;41;36;83;18;12;14
32;42;16;39;6;6;3
32;43;46;99;18;20;10
32;44;42;106;21;16;20
32;45;42;105;15;8;17
32;46;34;106;1;4;8
32;47;37;77;9;9;13
32;48;15;23;6;4;3
33;1;30;74;10;5;0
33;2;35;102;2;3;0
33;3;29;95;1;5;0
33;4;35;81;4;3;1
33;5;12;76;6;2;0
33;6;16;48;5;0;1
33;7;25;56;8;7;0
33;8;18;46;8;1;3
33;9;22;65;6;4;0
33;10;20;57;3;1;0
33;11;19;71;1;2;0
33;12;28;61;12;5;0
33;13;18;48;5;0;2
33;14;5;15;2;0;0
33;15;19;56;8;2;0
33;16;34;65;9;1;0
33;17;34;77;10;2;1
33;18;22;51;4;1;0
33;19;19;58;3;2;0
33;20;23;54;9;2;1
33;21;21;56;2;1;0
33;22;27;66;5;4;0
33;23;19;55;0;1;0
33;24;21;52;2;2;0
33;25;9;19;2;1;0
33;26;9;76;4;0;0
33;27;7;35;1;1;0
33;28;13;59;3;2;0
33;29;11;54;5;2;0
33;30;27;78;2;1;0
33;31;34;145;0;5;0
33;32;23;87;2;1;0
33;33;22;88;3;3;0
33;34;22;95;0;4;0
33;35;20;79;4;1;0
33;36;17;55;0;1;0
33;37;27;53;6;4;0
33;38;21;72;6;3;0
33;39;20;65;4;3;0
33;40;14;44;1;1;0
33;41;6;39;0;1;0
33;42;20;58;2;5;0
33;43;20;49;0;6;0
33;44;15;34;2;1;0
